column_name,column_type,null,key,default,extra
pr_pcomp_ordered_acco__6,DOUBLE,YES,,,
pr_pcomp_acco__6,DOUBLE,YES,,,
pr_prise_ordered_acco__6,DOUBLE,YES,,,
pr_prise_acco__6,DOUBLE,YES,,,
re_mip_sf_adjustment_acco__6,DOUBLE,YES,,,
re_mip_fo_adjustment_acco__6,DOUBLE,YES,,,
se_mip_ordered_acco__6,DOUBLE,YES,,,
se_mip_acco__6,DOUBLE,YES,,,
ec_fuel_plunger_stroke_meas__6,DOUBLE,YES,,,
ti_msec_adjust_acco__6,DOUBLE,YES,,,
bo_tier_iii_active,BOOLEAN,YES,,,
te_exh_turb_in_iso___1,DOUBLE,YES,,,
te_exh_turb_out_iso___1,DOUBLE,YES,,,
fr_tc_iso___1,DOUBLE,YES,,,
pr_cw_ic_in_common,DOUBLE,YES,,,
te_cw_ic_in__0,DOUBLE,YES,,,
re_perf_idx_cooling_ui_indicator,DOUBLE,YES,,,
re_perf_idx_pcomp_control_ui_indicator,DOUBLE,YES,,,
re_perf_idx_hrn_ui_indicator,DOUBLE,YES,,,
re_perf_idx_tc_speed_ui_indicator,DOUBLE,YES,,,
re_perf_idx_pscav_control_indicator,DOUBLE,YES,,,
re_perf_idx_pmax_control_indicator,DOUBLE,YES,,,
re_perf_idx_pmax_balance_ui_indicator,DOUBLE,YES,,,
re_perf_idx_pscav_control_ui_indicator,DOUBLE,YES,,,
re_perf_idx_pcomp_balance_ui_indicator,DOUBLE,YES,,,
re_perf_idx_pcomp_control_indicator,DOUBLE,YES,,,
re_perf_idx_pmax_control_ui_indicator,DOUBLE,YES,,,
re_perf_idx_mip_balance_ui_indicator,DOUBLE,YES,,,
re_perf_idx_load_control_ui_indicator,DOUBLE,YES,,,
re_perf_idx_turbine_in_ui_indicator,DOUBLE,YES,,,
co_nox_exh,DOUBLE,YES,,,
re_eexi_load_limit,DOUBLE,YES,,,
re_gov_pitch_act,DOUBLE,YES,,,
bo_gov_mode_phase_sync,BOOLEAN,YES,,,
bo_eng_slow_down,BOOLEAN,YES,,,
bo_eng_shut_down,BOOLEAN,YES,,,
pr_piv_activation__0,DOUBLE,YES,,,
pr_piv_activation__1,DOUBLE,YES,,,
pr_piv_activation__2,DOUBLE,YES,,,
pr_piv_activation__3,DOUBLE,YES,,,
pr_piv_activation__4,DOUBLE,YES,,,
pr_piv_activation__5,DOUBLE,YES,,,
pr_lub_lps_pump_out,DOUBLE,YES,,,
in_scr_state,DOUBLE,YES,,,
fr_eng_chief_limit,DOUBLE,YES,,,
re_eng_load_chief_max,DOUBLE,YES,,,
re_eng_chief_index_limit_all,DOUBLE,YES,,,
re_eng_chief_index_limit__0,DOUBLE,YES,,,
re_eng_chief_index_limit__1,DOUBLE,YES,,,
re_eng_chief_index_limit__2,DOUBLE,YES,,,
re_eng_chief_index_limit__3,DOUBLE,YES,,,
re_eng_chief_index_limit__4,DOUBLE,YES,,,
re_eng_chief_index_limit__5,DOUBLE,YES,,,
vo_melub_bn_high_total,DOUBLE,YES,,,
re_eng_load_internal_ecs,DOUBLE,YES,,,
re_eng_torque,DOUBLE,YES,,,
re_fuel_plunger_stroke_valid__0,DOUBLE,YES,,,
re_fuel_plunger_stroke_valid__1,DOUBLE,YES,,,
re_fuel_plunger_stroke_valid__2,DOUBLE,YES,,,
re_fuel_plunger_stroke_valid__3,DOUBLE,YES,,,
re_fuel_plunger_stroke_valid__4,DOUBLE,YES,,,
re_fuel_plunger_stroke_valid__5,DOUBLE,YES,,,
ti_fuel_inj_close_start__0,DOUBLE,YES,,,
ti_fuel_inj_close_start__1,DOUBLE,YES,,,
ti_fuel_inj_close_start__2,DOUBLE,YES,,,
ti_fuel_inj_close_start__3,DOUBLE,YES,,,
ti_fuel_inj_close_start__4,DOUBLE,YES,,,
ti_fuel_inj_close_start__5,DOUBLE,YES,,,
an_exhv_open_angle_order,DOUBLE,YES,,,
an_exhv_open_request__0,DOUBLE,YES,,,
an_exhv_open_request__1,DOUBLE,YES,,,
an_exhv_open_request__2,DOUBLE,YES,,,
an_exhv_open_request__3,DOUBLE,YES,,,
an_exhv_open_request__4,DOUBLE,YES,,,
an_exhv_open_request__5,DOUBLE,YES,,,
an_exhv_close_request__0,DOUBLE,YES,,,
an_exhv_close_request__1,DOUBLE,YES,,,
an_exhv_close_request__2,DOUBLE,YES,,,
an_exhv_close_request__3,DOUBLE,YES,,,
an_exhv_close_request__4,DOUBLE,YES,,,
an_exhv_close_request__5,DOUBLE,YES,,,
ti_fuel_inj_close__0,DOUBLE,YES,,,
ti_fuel_inj_close__1,DOUBLE,YES,,,
ti_fuel_inj_close__2,DOUBLE,YES,,,
ti_fuel_inj_close__3,DOUBLE,YES,,,
ti_fuel_inj_close__4,DOUBLE,YES,,,
ti_fuel_inj_close__5,DOUBLE,YES,,,
in_fuel_inj_profile_no__0,DOUBLE,YES,,,
in_fuel_inj_profile_no__1,DOUBLE,YES,,,
in_fuel_inj_profile_no__2,DOUBLE,YES,,,
in_fuel_inj_profile_no__3,DOUBLE,YES,,,
in_fuel_inj_profile_no__4,DOUBLE,YES,,,
in_fuel_inj_profile_no__5,DOUBLE,YES,,,
an_fuel_prim_inject_angle_order__0,DOUBLE,YES,,,
an_fuel_prim_inject_angle_order__1,DOUBLE,YES,,,
an_fuel_prim_inject_angle_order__2,DOUBLE,YES,,,
an_fuel_prim_inject_angle_order__3,DOUBLE,YES,,,
an_fuel_prim_inject_angle_order__4,DOUBLE,YES,,,
an_fuel_prim_inject_angle_order__5,DOUBLE,YES,,,
in_scr_selection,DOUBLE,YES,,,
in_scr_mode,DOUBLE,YES,,,
in_scr_t3_status,DOUBLE,YES,,,
in_scr_vlv_state,DOUBLE,YES,,,
te_exh_turb_in_6606__0,DOUBLE,YES,,,
te_exh_turb_in_6606__1,DOUBLE,YES,,,
te_exh_turb_in_6606__2,DOUBLE,YES,,,
te_exh_turb_in_6606__3,DOUBLE,YES,,,
in_scr_rsv_fb_state,DOUBLE,YES,,,
te_exh_scr_in_1,DOUBLE,YES,,,
te_exh_scr_in_2,DOUBLE,YES,,,
in_scr_aux_blower_status,DOUBLE,YES,,,
bo_scr_redu_agent_inj_enabl,BOOLEAN,YES,,,
bo_scr_redu_agent_inj_avail,BOOLEAN,YES,,,
bo_scr_soot_blow_run_6639,BOOLEAN,YES,,,
bo_scr_soot_blow_run_cmd_6647,BOOLEAN,YES,,,
bo_scr_stdby_heat_run_6648,BOOLEAN,YES,,,
bo_scr_stdby_heat_run_cmd_6649,BOOLEAN,YES,,,
bo_scr_vent_run_6650,BOOLEAN,YES,,,
bo_scr_vent_run_cmd_6651,BOOLEAN,YES,,,
bo_scr_rsv_pos_setp_6618,BOOLEAN,YES,,,
bo_scr_rsv_close_sw_6617,BOOLEAN,YES,,,
re_eexi_load_limit_value,DOUBLE,YES,,,
pd_scr_rtv_661502,DOUBLE,YES,,,
pr_scr_air_tiii_167302,DOUBLE,YES,,,
bo_scr_dos_flush_seq_run,BOOLEAN,YES,,,
bo_scr_dosing_rdy_660202,BOOLEAN,YES,,,
in_act_sub_mode_no,DOUBLE,YES,,,
pr_cw_ic_in__1,DOUBLE,YES,,,
te_cw_ic_out__1,DOUBLE,YES,,,
te_air_ic_in__1,DOUBLE,YES,,,
te_air_ic_out__1,DOUBLE,YES,,,
pd_air_ic__1,DOUBLE,YES,,,
te_cw_ic_in__1,DOUBLE,YES,,,
te_lub_tc_out__1,DOUBLE,YES,,,
te_exh_turb_in__1,DOUBLE,YES,,,
te_exh_turb_out__1,DOUBLE,YES,,,
fr_tc__1,DOUBLE,YES,,,
pr_lub_tc_in__1,DOUBLE,YES,,,
te_air_comp_in_a__1,DOUBLE,YES,,,
pr_exh_turb_out__1,DOUBLE,YES,,,
pd_air_comp_filter__1,DOUBLE,YES,,,
te_air_comp_in_b__1,DOUBLE,YES,,,
te_exh_turb_out_iso__1,DOUBLE,YES,,,
fr_tc_iso__1,DOUBLE,YES,,,
te_exh_turb_in_iso__1,DOUBLE,YES,,,
re_fuel_sulpher_secondary,DOUBLE,YES,,,
re_whr_bypass_area_max,DOUBLE,YES,,,
re_whr_bypass_area_min,DOUBLE,YES,,,
mf_gas,DOUBLE,YES,,,
pr_gas_eng_in_setpoint,DOUBLE,YES,,,
pr_gas_eng_supply,DOUBLE,YES,,,
pr_gas_eng_train,DOUBLE,YES,,,
pr_gas_eng_inlet,DOUBLE,YES,,,
pr_inertgas,DOUBLE,YES,,,
te_gas_inlet,DOUBLE,YES,,,
re_gas_flow_limit,DOUBLE,YES,,,
re_eng_load_fuel_sec,DOUBLE,YES,,,
er_sacu1_insulation,DOUBLE,YES,,,
er_spsu_insulation,DOUBLE,YES,,,
er_spcu_insulation,DOUBLE,YES,,,
er_scsu_insulation__0,DOUBLE,YES,,,
er_scsu_insulation__1,DOUBLE,YES,,,
re_gov_idx_fuel_sec,DOUBLE,YES,,,
re_fuel_idx_prim,DOUBLE,YES,,,
bo_dual_fuel_ready,BOOLEAN,YES,,,
bo_dual_fuel_not_ready,BOOLEAN,YES,,,
bo_dual_fuel_starting,BOOLEAN,YES,,,
bo_dual_fuel_running,BOOLEAN,YES,,,
bo_dual_fuel_not_running,BOOLEAN,YES,,,
bo_dual_fuel_manual_stby,BOOLEAN,YES,,,
ti_runhour_sf,DOUBLE,YES,,,
ti_runhour_sf_total,DOUBLE,YES,,,
pd_sfvt_filter,DOUBLE,YES,,,
re_air_egr_02_setpoint,DOUBLE,YES,,,
re_air_egr_02_actual,DOUBLE,YES,,,
te_exh_egr_ac_in,DOUBLE,YES,,,
te_exh_egr_wmc_out,DOUBLE,YES,,,
pr_exh_egr_blower_in,DOUBLE,YES,,,
pd_exh_egr_cooler,DOUBLE,YES,,,
pd_egr_blower___1,DOUBLE,YES,,,
fr_egr_blower___1,DOUBLE,YES,,,
fr_egr_blower1_setpoint,DOUBLE,YES,,,
pd_egr_btv___1,DOUBLE,YES,,,
re_egr_btv_pos___1,DOUBLE,YES,,,
re_egr_btv1_pos_setpoint,DOUBLE,YES,,,
re_egr_cbv_pos,DOUBLE,YES,,,
re_egr_cbv_pos_setpoint,DOUBLE,YES,,,
te_exh_egr_btv_out,DOUBLE,YES,,,
ph_egr_water_ph_setpoint,DOUBLE,YES,,,
pr_egr_unit_water_pre_spray,DOUBLE,YES,,,
pr_egr_unit_water_cooler_spray,DOUBLE,YES,,,
re_egr_rtlv_pos,DOUBLE,YES,,,
re_egr_rtlv_pos_setpoint,DOUBLE,YES,,,
pr_egr_pwcp_out,DOUBLE,YES,,,
te_egr_pwrt_out,DOUBLE,YES,,,
re_egr_pwrt_level,DOUBLE,YES,,,
re_egr_pwrt_level_setpoint,DOUBLE,YES,,,
vf_egr_dosingpump_setpoint,DOUBLE,YES,,,
re_egr_naoh_concentr_setpoint,DOUBLE,YES,,,
pr_sf_plant_sealing_oil,DOUBLE,YES,,,
re_sf_calculated_correction,DOUBLE,YES,,,
pr_outer_pipe_test,DOUBLE,YES,,,
re_sf_gss_index_limit,DOUBLE,YES,,,
pr_pmax_test_limit,DOUBLE,YES,,,
pr_expansion_press_min_limit__0,DOUBLE,YES,,,
pr_expansion_press_min_limit__1,DOUBLE,YES,,,
pr_expansion_press_min_limit__2,DOUBLE,YES,,,
pr_expansion_press_min_limit__3,DOUBLE,YES,,,
pr_expansion_press_min_limit__4,DOUBLE,YES,,,
pr_expansion_press_min_limit__5,DOUBLE,YES,,,
re_sf_pcyl_dp_dt_limit__0,DOUBLE,YES,,,
re_sf_pcyl_dp_dt_limit__1,DOUBLE,YES,,,
re_sf_pcyl_dp_dt_limit__2,DOUBLE,YES,,,
re_sf_pcyl_dp_dt_limit__3,DOUBLE,YES,,,
re_sf_pcyl_dp_dt_limit__4,DOUBLE,YES,,,
re_sf_pcyl_dp_dt_limit__5,DOUBLE,YES,,,
bo_double_pipe_vent_flow,BOOLEAN,YES,,,
re_sf_double_pipe_hc_lel,DOUBLE,YES,,,
po_shaft_gen,DOUBLE,YES,,,
po_shaft_gen_margin,DOUBLE,YES,,,
fr_eng_phase_sync_oppos_setpoint,DOUBLE,YES,,,
bo_dual_fuel_injection,BOOLEAN,YES,,,
bo_dual_fuel_shut_down,BOOLEAN,YES,,,
bo_optimized_sf_running,BOOLEAN,YES,,,
re_exh_incr,DOUBLE,YES,,,
bo_ecoegr_active,BOOLEAN,YES,,,
bo_dual_fuel_active,BOOLEAN,YES,,,
pr_expansion_press_min_limit__6,DOUBLE,YES,,,
re_sf_pcyl_dp_dt_limit__6,DOUBLE,YES,,,
pr_piv_activation__6,DOUBLE,YES,,,
re_eng_chief_index_limit__6,DOUBLE,YES,,,
re_fuel_quality_adjust,DOUBLE,YES,,,
pd_pmax_dev_avg__0,DOUBLE,YES,,,
pd_pmax_dev_avg__1,DOUBLE,YES,,,
pd_pmax_dev_avg__2,DOUBLE,YES,,,
pd_pmax_dev_avg__3,DOUBLE,YES,,,
pd_pmax_dev_avg__4,DOUBLE,YES,,,
pd_pmax_dev_avg__5,DOUBLE,YES,,,
pd_pcomp_dev_avg__0,DOUBLE,YES,,,
pd_pcomp_dev_avg__1,DOUBLE,YES,,,
pd_pcomp_dev_avg__2,DOUBLE,YES,,,
pd_pcomp_dev_avg__3,DOUBLE,YES,,,
pd_pcomp_dev_avg__4,DOUBLE,YES,,,
pd_pcomp_dev_avg__5,DOUBLE,YES,,,
pd_mip_dev_avg__0,DOUBLE,YES,,,
pd_mip_dev_avg__1,DOUBLE,YES,,,
pd_mip_dev_avg__2,DOUBLE,YES,,,
pd_mip_dev_avg__3,DOUBLE,YES,,,
pd_mip_dev_avg__4,DOUBLE,YES,,,
pd_mip_dev_avg__5,DOUBLE,YES,,,
pd_pmax_avg_setp,DOUBLE,YES,,,
pd_pcomp_avg_setp,DOUBLE,YES,,,
pd_mip_avg_setp,DOUBLE,YES,,,
re_returnpipe_hc_a,DOUBLE,YES,,,
re_returnpipe_hc_b,DOUBLE,YES,,,
te_sf_return,DOUBLE,YES,,,
pr_sf_return_pipe,DOUBLE,YES,,,
re_melub_bn_ordered,DOUBLE,YES,,,
te_cw_eng_in_setpoint,DOUBLE,YES,,,
te_cw_jcw_out_setpoint,DOUBLE,YES,,,
te_cw_jcw_out,DOUBLE,YES,,,
te_cw_eng_out_setpoint,DOUBLE,YES,,,
te_cw_eng_out,DOUBLE,YES,,,
pr_8464_cw_ldcl_pump_in,DOUBLE,YES,,,
pr_8465_cw_ldcl_pump_out,DOUBLE,YES,,,
re_cw_valve_pos_setpoint,DOUBLE,YES,,,
re_cw_valve_pos,DOUBLE,YES,,,
er_cwcu_insulation,DOUBLE,YES,,,
bo_oil_leak_cylinder__0,BOOLEAN,YES,,,
bo_oil_leak_cylinder__1,BOOLEAN,YES,,,
bo_oil_leak_cylinder__2,BOOLEAN,YES,,,
bo_oil_leak_cylinder__3,BOOLEAN,YES,,,
bo_oil_leak_cylinder__4,BOOLEAN,YES,,,
bo_oil_leak_cylinder__5,BOOLEAN,YES,,,
bo_autofilter_alm,BOOLEAN,YES,,,
bo_hps_oil_dpfilter_alm_high,BOOLEAN,YES,,,
bo_hps_lps_pump_start,BOOLEAN,YES,,,
bo_hps_lps_boost_pump_fail,BOOLEAN,YES,,,
bo_hps_lps_boost_pump_run,BOOLEAN,YES,,,
bo_ic_water_mist_level,BOOLEAN,YES,,,
bo_oil_leak_engine,BOOLEAN,YES,,,
bo_pco_cyl_out_no_flow__0,BOOLEAN,YES,,,
bo_pco_cyl_out_no_flow__1,BOOLEAN,YES,,,
bo_pco_cyl_out_no_flow__2,BOOLEAN,YES,,,
bo_pco_cyl_out_no_flow__3,BOOLEAN,YES,,,
bo_pco_cyl_out_no_flow__4,BOOLEAN,YES,,,
bo_pco_cyl_out_no_flow__5,BOOLEAN,YES,,,
bo_oil_leak_hp_pipes,DOUBLE,YES,,,
pr_lub_lps_deaerating,DOUBLE,YES,,,
in_egr_state,DOUBLE,YES,,,
in_egr_select,DOUBLE,YES,,,
re_hps_swash_position_setpoint__0,DOUBLE,YES,,,
re_hps_swash_position_setpoint__1,DOUBLE,YES,,,
re_hps_swash_position_setpoint__2,DOUBLE,YES,,,
pr_air_comp__0,DOUBLE,YES,,,
bo_oil_leak_cylinder__6,BOOLEAN,YES,,,
bo_pco_cyl_out_no_flow__6,BOOLEAN,YES,,,
te_lub_oil_in_hps,DOUBLE,YES,,,
te_lub_oil_tc_in,DOUBLE,YES,,,
pr_sf_rvt_train,DOUBLE,YES,,,
bo_tc_cut_out,BOOLEAN,YES,,,
in_acu4_noise_pulses,DOUBLE,YES,,,
er_acu4_insulation,DOUBLE,YES,,,
te_coil_pist_out__7,DOUBLE,YES,,,
te_lub_mbear_out__9,DOUBLE,YES,,,
te_cw_cyl_out_ht__7,DOUBLE,YES,,,
te_air_scav_cyl__7,DOUBLE,YES,,,
te_exh_cyl_out__7,DOUBLE,YES,,,
te_cw_cover_out__7,DOUBLE,YES,,,
te_lub_chbear_out__14,DOUBLE,YES,,,
te_lub_chbear_out__15,DOUBLE,YES,,,
te_lub_cpbear_out__7,DOUBLE,YES,,,
se_mip__7,DOUBLE,YES,,,
pr_cyl_max__7,DOUBLE,YES,,,
pr_cyl_comp__7,DOUBLE,YES,,,
mr_luboil_cyl_in_feedrate__7,DOUBLE,YES,,,
pr_pmax_offset_chief__7,DOUBLE,YES,,,
re_pcomp_pscav_offset_chief__7,DOUBLE,YES,,,
an_exh_valve_open_offset_chief__7,DOUBLE,YES,,,
in_ccu_noise_pulses__7,DOUBLE,YES,,,
er_ccu_insulation__7,DOUBLE,YES,,,
re_pcomp_pscav__7,DOUBLE,YES,,,
te_cyl_liner_wall_pump__7,DOUBLE,YES,,,
te_cyl_liner_wall_exh__7,DOUBLE,YES,,,
re_pcomp_pscav_adjustment_acco__7,DOUBLE,YES,,,
pr_prise_adjustment_acco__7,DOUBLE,YES,,,
pr_pmax_ordered_acco__7,DOUBLE,YES,,,
pr_pmax_acco__7,DOUBLE,YES,,,
pr_pcomp_ordered_acco__7,DOUBLE,YES,,,
pr_pcomp_acco__7,DOUBLE,YES,,,
pr_prise_ordered_acco__7,DOUBLE,YES,,,
pr_prise_acco__7,DOUBLE,YES,,,
re_mip_sf_adjustment_acco__7,DOUBLE,YES,,,
re_mip_fo_adjustment_acco__7,DOUBLE,YES,,,
se_mip_ordered_acco__7,DOUBLE,YES,,,
se_mip_acco__7,DOUBLE,YES,,,
ec_fuel_plunger_stroke_meas__7,DOUBLE,YES,,,
re_load_low_offset_chief__7,DOUBLE,YES,,,
re_load_high_offset_chief__7,DOUBLE,YES,,,
ti_msec_adjust_acco__7,DOUBLE,YES,,,
le_exhv_stroke_opening__7,DOUBLE,YES,,,
le_exhv_stroke_close__7,DOUBLE,YES,,,
ti_exhv_delay_close__7,DOUBLE,YES,,,
ti_exhv_delay_open__7,DOUBLE,YES,,,
ec_exhv_position_close__7,DOUBLE,YES,,,
re_melub_feedrate_adjust__7,DOUBLE,YES,,,
mr_melub_feedrate_run_in__7,DOUBLE,YES,,,
pd_cyl_max_dev__7,DOUBLE,YES,,,
pd_cyl_comp_dev__7,DOUBLE,YES,,,
se_mip_dev__7,DOUBLE,YES,,,
pd_exh_egr_unit,DOUBLE,YES,,,
pr_egr_unit_water_post_spray,DOUBLE,YES,,,
bo_tcco_active,BOOLEAN,YES,,,
re_egb_ctrlvlv_max_area,DOUBLE,YES,,,
te_cyl_liner_ams__0,DOUBLE,YES,,,
te_cyl_liner_ams__1,DOUBLE,YES,,,
te_cyl_liner_ams__2,DOUBLE,YES,,,
te_cyl_liner_ams__3,DOUBLE,YES,,,
te_cyl_liner_ams__4,DOUBLE,YES,,,
te_cyl_liner_ams__5,DOUBLE,YES,,,
te_cyl_liner_ams__6,DOUBLE,YES,,,
te_cyl_liner_ams__7,DOUBLE,YES,,,
te_cyl_liner_ams__8,DOUBLE,YES,,,
te_cyl_liner_ams__9,DOUBLE,YES,,,
te_cyl_liner_ams__10,DOUBLE,YES,,,
te_cyl_liner_ams__11,DOUBLE,YES,,,
in_ccu_noise_pulses__8,DOUBLE,YES,,,
in_ccu_noise_pulses__9,DOUBLE,YES,,,
in_ccu_noise_pulses__10,DOUBLE,YES,,,
in_ccu_noise_pulses__11,DOUBLE,YES,,,
in_ccu_noise_pulses__12,DOUBLE,YES,,,
in_ccu_noise_pulses__13,DOUBLE,YES,,,
er_ccu_insulation__8,DOUBLE,YES,,,
er_ccu_insulation__9,DOUBLE,YES,,,
er_ccu_insulation__10,DOUBLE,YES,,,
er_ccu_insulation__11,DOUBLE,YES,,,
er_ccu_insulation__12,DOUBLE,YES,,,
er_ccu_insulation__13,DOUBLE,YES,,,
te_cw_cyl_out_ht___1,DOUBLE,YES,,,
er_sacu2_insulation,DOUBLE,YES,,,
pr_air_comp__1,DOUBLE,YES,,,
re_whr_bypass_area_total,DOUBLE,YES,,,
re_pt_ctrlvlv_area_max,DOUBLE,YES,,,
re_pt_ctrlvlv_pos_max,DOUBLE,YES,,,
re_pt_ctrlvlv_area,DOUBLE,YES,,,
re_pt_ctrlvlv_min_area,DOUBLE,YES,,,
re_pt_ctrlvlv_pos,DOUBLE,YES,,,
re_egb_exh_incr,DOUBLE,YES,,,
te_exh_scr_mixer_inlet___1,DOUBLE,YES,,,
bo_scr_catalyst_diag_active,BOOLEAN,YES,,,
bo_scr_flow_all,BOOLEAN,YES,,,
bo_scr_regen_active,BOOLEAN,YES,,,
bo_scr_engage,BOOLEAN,YES,,,
se_mip__8,DOUBLE,YES,,,
pr_cyl_max__8,DOUBLE,YES,,,
pr_cyl_comp__8,DOUBLE,YES,,,
mr_luboil_cyl_in_feedrate__8,DOUBLE,YES,,,
pr_pmax_offset_chief__8,DOUBLE,YES,,,
re_pcomp_pscav_offset_chief__8,DOUBLE,YES,,,
an_exh_valve_open_offset_chief__8,DOUBLE,YES,,,
re_pcomp_pscav__8,DOUBLE,YES,,,
te_cyl_liner_wall_pump__8,DOUBLE,YES,,,
te_cyl_liner_wall_exh__8,DOUBLE,YES,,,
ec_fuel_plunger_stroke_meas__8,DOUBLE,YES,,,
re_load_low_offset_chief__8,DOUBLE,YES,,,
re_load_high_offset_chief__8,DOUBLE,YES,,,
pd_cyl_max_dev__8,DOUBLE,YES,,,
pd_cyl_comp_dev__8,DOUBLE,YES,,,
se_mip_dev__8,DOUBLE,YES,,,
bo_phase_sync_act,BOOLEAN,YES,,,
fr_eng_phase_sync_oppos,DOUBLE,YES,,,
fr_eng_phase_sync_diff,DOUBLE,YES,,,
an_phase_setpoint,DOUBLE,YES,,,
er_scsu_insulation__2,DOUBLE,YES,,,
er_etu1_insulation,DOUBLE,YES,,,
pd_egr_blower__0,DOUBLE,YES,,,
pd_egr_blower__1,DOUBLE,YES,,,
fr_egr_blower__0,DOUBLE,YES,,,
fr_egr_blower__1,DOUBLE,YES,,,
fr_egr_blower2_setpoint,DOUBLE,YES,,,
pd_egr_btv__0,DOUBLE,YES,,,
pd_egr_btv__1,DOUBLE,YES,,,
re_egr_btv_pos__0,DOUBLE,YES,,,
re_egr_btv_pos__1,DOUBLE,YES,,,
re_egr_btv2_pos_setpoint,DOUBLE,YES,,,
ti_mev_return_delay__0,DOUBLE,YES,,,
ti_mev_return_delay__1,DOUBLE,YES,,,
ti_mev_return_delay__2,DOUBLE,YES,,,
ti_mev_return_delay__3,DOUBLE,YES,,,
ti_mev_return_delay__4,DOUBLE,YES,,,
ti_mev_return_delay__5,DOUBLE,YES,,,
ti_mev_cal_delay_offset__0,DOUBLE,YES,,,
ti_mev_cal_delay_offset__1,DOUBLE,YES,,,
ti_mev_cal_delay_offset__2,DOUBLE,YES,,,
ti_mev_cal_delay_offset__3,DOUBLE,YES,,,
ti_mev_cal_delay_offset__4,DOUBLE,YES,,,
ti_mev_cal_delay_offset__5,DOUBLE,YES,,,
te_gas_inlet_lgip,DOUBLE,YES,,,
fr_tc_ecs__1,DOUBLE,YES,,,
te_coil_pist_out__8,DOUBLE,YES,,,
te_coil_pist_out__9,DOUBLE,YES,,,
te_coil_pist_out__10,DOUBLE,YES,,,
te_lub_mbear_out__10,DOUBLE,YES,,,
te_lub_mbear_out__11,DOUBLE,YES,,,
te_lub_mbear_out__12,DOUBLE,YES,,,
te_lub_mbear_out__13,DOUBLE,YES,,,
te_cw_cyl_out_ht__8,DOUBLE,YES,,,
te_cw_cyl_out_ht__9,DOUBLE,YES,,,
te_cw_cyl_out_ht__10,DOUBLE,YES,,,
te_air_scav_cyl__8,DOUBLE,YES,,,
te_air_scav_cyl__9,DOUBLE,YES,,,
te_air_scav_cyl__10,DOUBLE,YES,,,
te_exh_cyl_out__8,DOUBLE,YES,,,
te_exh_cyl_out__9,DOUBLE,YES,,,
te_exh_cyl_out__10,DOUBLE,YES,,,
te_cw_cover_out__8,DOUBLE,YES,,,
te_cw_cover_out__9,DOUBLE,YES,,,
te_cw_cover_out__10,DOUBLE,YES,,,
te_lub_chbear_out__16,DOUBLE,YES,,,
te_lub_chbear_out__17,DOUBLE,YES,,,
te_lub_chbear_out__18,DOUBLE,YES,,,
te_lub_chbear_out__19,DOUBLE,YES,,,
te_lub_chbear_out__20,DOUBLE,YES,,,
te_lub_chbear_out__21,DOUBLE,YES,,,
te_lub_cpbear_out__8,DOUBLE,YES,,,
te_lub_cpbear_out__9,DOUBLE,YES,,,
te_lub_cpbear_out__10,DOUBLE,YES,,,
se_mip__9,DOUBLE,YES,,,
se_mip__10,DOUBLE,YES,,,
pr_cyl_max__9,DOUBLE,YES,,,
pr_cyl_max__10,DOUBLE,YES,,,
pr_cyl_comp__9,DOUBLE,YES,,,
pr_cyl_comp__10,DOUBLE,YES,,,
mr_luboil_cyl_in_feedrate__9,DOUBLE,YES,,,
mr_luboil_cyl_in_feedrate__10,DOUBLE,YES,,,
pr_pmax_offset_chief__9,DOUBLE,YES,,,
pr_pmax_offset_chief__10,DOUBLE,YES,,,
re_pcomp_pscav_offset_chief__9,DOUBLE,YES,,,
re_pcomp_pscav_offset_chief__10,DOUBLE,YES,,,
an_exh_valve_open_offset_chief__9,DOUBLE,YES,,,
an_exh_valve_open_offset_chief__10,DOUBLE,YES,,,
re_pcomp_pscav__9,DOUBLE,YES,,,
re_pcomp_pscav__10,DOUBLE,YES,,,
te_cyl_liner_wall_pump__9,DOUBLE,YES,,,
te_cyl_liner_wall_pump__10,DOUBLE,YES,,,
te_cyl_liner_wall_exh__9,DOUBLE,YES,,,
te_cyl_liner_wall_exh__10,DOUBLE,YES,,,
ec_fuel_plunger_stroke_meas__9,DOUBLE,YES,,,
ec_fuel_plunger_stroke_meas__10,DOUBLE,YES,,,
pd_cyl_max_dev__9,DOUBLE,YES,,,
pd_cyl_max_dev__10,DOUBLE,YES,,,
pd_cyl_comp_dev__9,DOUBLE,YES,,,
pd_cyl_comp_dev__10,DOUBLE,YES,,,
se_mip_dev__9,DOUBLE,YES,,,
se_mip_dev__10,DOUBLE,YES,,,
re_pcomp_pscav_adjustment_acco__8,DOUBLE,YES,,,
pr_prise_adjustment_acco__8,DOUBLE,YES,,,
pr_pmax_ordered_acco__8,DOUBLE,YES,,,
pr_pmax_acco__8,DOUBLE,YES,,,
pr_pcomp_ordered_acco__8,DOUBLE,YES,,,
pr_pcomp_acco__8,DOUBLE,YES,,,
pr_prise_ordered_acco__8,DOUBLE,YES,,,
pr_prise_acco__8,DOUBLE,YES,,,
re_mip_sf_adjustment_acco__8,DOUBLE,YES,,,
re_mip_fo_adjustment_acco__8,DOUBLE,YES,,,
se_mip_ordered_acco__8,DOUBLE,YES,,,
se_mip_acco__8,DOUBLE,YES,,,
pr_cw_ic_in__2,DOUBLE,YES,,,
te_cw_ic_out__2,DOUBLE,YES,,,
